№ п/п;Наименование судебного участка Мировых судей Нижегородской области;Почтовый адрес судебного участка Мировых судей Нижегородской области;Фамилия, имя, отчество судьи;Код города;Контактные телефоны судебного участка Мировых судей Нижегородской области;Адрес электронной почты;Адрес сайта судебного участка Мировых судей Нижегородской области в Интернет;Время работы судебного участка
1;Судебный участок мирового судьи № 1 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Трубников Дмитрий Васильевич;831;261-01-47;avtoz_1@msud.nnov.ru;http://avtoz1.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
2;Судебный участок мирового судьи № 2 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Ефремова Татьяна Евгеньевна;831;261-01-48;avtoz_2@msud.nnov.ru;http://avtoz2.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
3;Судебный участок мирового судьи № 3 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Шикина Анна Владимировна;831;261-01-49;avtoz_3@msud.nnov.ru;http://avtoz3.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
4;Судебный участок мирового судьи № 4 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Двойнякова Наталья Владимировна;831;261-01-52;avtoz_4@msud.nnov.ru;http://avtoz4.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
5;Судебный участок мирового судьи № 5 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Ульянов Алексей Валерьевич;831;261-01-53;avtoz_5@msud.nnov.ru;http://avtoz5.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
6;Судебный участок мирового судьи № 6 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д. 10-а г. Н.Новгород, 603950;Полякова Алла Леонидовна;831;261-01-54;avtoz_6@msud.nnov.ru;http://avtoz6.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
7;Судебный участок мирового судьи № 7 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д.6-а г.Н.Новгород, 603950;Воронцов Денис Владимирович;831;269-06-67;avtoz_7@msud.nnov.ru;http://avtoz7.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
8;Судебный участок мирового судьи № 8 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д.6-а г.Н.Новгород, 603950;Зайцев Сергей Алексеевич;831;269-06-71;avtoz_8@msud.nnov.ru;http://avtoz8.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
9;Судебный участок мирового судьи № 9 Автозаводского судебного района г.Н.Новгорода;Ватутина ул., д.6-а г.Н.Новгород, 603950;Лисов Валерий Валерьевич;831;269-06-62;avtoz_9@msud.nnov.ru;http://avtoz9.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
10;Судебный участок мирового судьи № 10 Автозаводского судебного  района г.Н.Новгорода;Ватутина ул., д.6-а г.Н.Новгород, 603950;;831;269-06-75;avtoz_10@msud.nnov.ru;http://avtoz10.nnov.msudrf.ru;8.00-17.00, обед 13.00-14.00
